g2 dynamics at tau=0, vacuum initial state, w=w_dip
t [ps]       g2 [1]      
5.279534     1.000250    
5.284066     1.000301    
5.288598     1.000377    
5.293130     1.000370    
5.297662     1.000371    
5.302193     1.000299    
5.306725     1.000225    
5.311257     1.000387    
5.315789     1.000262    
5.320320     1.000242    
5.324852     1.000229    
5.329384     1.000235    
5.333916     1.000214    
5.338448     1.000245    
5.342979     1.000323    
5.347511     1.000199    
5.352043     1.000218    
5.356575     1.000246    
5.361107     1.000361    
5.365638     1.000220    
5.370170     1.000204    
5.374702     1.000318    
5.379234     1.000288    
5.383766     1.000286    
5.388297     1.000237    
5.392829     1.000331    
5.397361     1.000371    
5.401893     1.000322    
5.406424     1.000218    
5.410956     1.000341    
5.415488     1.000350    
5.420020     1.000247    
5.424552     1.000280    
5.429083     1.000351    
5.433615     1.000326    
5.438147     1.000388    
5.442679     1.000489    
5.447211     1.000494    
5.451742     1.000430    
5.456274     1.000413    
5.460806     1.000373    
5.465338     1.000475    
5.469870     1.000466    
5.474401     1.000387    
5.478933     1.000427    
5.483465     1.000426    
5.487997     1.000359    
5.492528     1.000374    
5.497060     1.000389    
5.501592     1.000362    
5.506124     1.000369    
5.510656     1.000351    
5.515187     1.000425    
5.519719     1.000475    
5.524251     1.000366    
5.528783     1.000472    
5.533315     1.000489    
5.537846     1.000357    
5.542378     1.000464    
5.546910     1.000465    
5.551442     1.000421    
5.555973     1.000474    
5.560505     1.000463    
5.565037     1.000372    
5.569569     1.000467    
5.574101     1.000418    
5.578632     1.000418    
5.583164     1.000486    
5.587696     1.000373    
5.592228     1.000382    
5.596760     1.000473    
5.601291     1.000371    
5.605823     1.000417    
5.610355     1.000416    
5.614887     1.000415    
5.619419     1.000514    
5.623950     1.000465    
5.628482     1.000414    
5.633014     1.000415    
5.637546     1.000346    
5.642077     1.000447    
